Municipality name;Official municipality code (AGS);Name of municipality ass.;Code of municipality associations (RS)
Flensburg, Stadt;1001000;Flensburg, Stadt;10010000.0
Kiel, Landeshauptstadt;1002000;Kiel, Landeshauptstadt;10020000.0
Lübeck, Hansestadt;1003000;Lübeck, Hansestadt;10030000.0
Neumünster, Stadt;1004000;Neumünster, Stadt;10040000.0
Albersdorf;1051001;Mitteldithmarschen;10515175.0
Arkebek;1051002;Mitteldithmarschen;10515175.0
Averlak;1051003;Burg-St. Michaelisdonn;10515163.0
Bargenstedt;1051004;Mitteldithmarschen;10515175.0
Barkenholm;1051005;Eider;10515169.0
Barlt;1051006;Mitteldithmarschen;10515175.0
Bergewöhrden;1051008;Eider;10515169.0
Brickeln;1051010;Burg-St. Michaelisdonn;10515163.0
Brunsbüttel, Stadt;1051011;Brunsbüttel, Stadt;10510011.0
Buchholz;1051012;Burg-St. Michaelisdonn;10515163.0
Büsum;1051013;Büsum-Wesselburen;10515178.0
Büsumer Deichhausen;1051014;Büsum-Wesselburen;10515178.0
Bunsoh;1051015;Mitteldithmarschen;10515175.0
Burg (Dithmarschen);1051016;Burg-St. Michaelisdonn;10515163.0
Busenwurth;1051017;Mitteldithmarschen;10515175.0
Dellstedt;1051019;Eider;10515169.0
Delve;1051020;Eider;10515169.0
Diekhusen-Fahrstedt;1051021;Marne-Nordsee;10515166.0
Dingen;1051022;Burg-St. Michaelisdonn;10515163.0
Dörpling;1051023;Eider;10515169.0
Eddelak;1051024;Burg-St. Michaelisdonn;10515163.0
Eggstedt;1051026;Burg-St. Michaelisdonn;10515163.0
Elpersbüttel;1051027;Mitteldithmarschen;10515175.0
Epenwöhrden;1051028;Mitteldithmarschen;10515175.0
Fedderingen;1051030;Eider;10515169.0
Frestedt;1051032;Burg-St. Michaelisdonn;10515163.0
Friedrichsgabekoog;1051033;Büsum-Wesselburen;10515178.0
Friedrichskoog;1051034;Marne-Nordsee;10515166.0
Gaushorn;1051035;Eider;10515169.0
Glüsing;1051036;Eider;10515169.0
Großenrade;1051037;Burg-St. Michaelisdonn;10515163.0
Groven;1051038;Eider;10515169.0
Gudendorf;1051039;Mitteldithmarschen;10515175.0
Hedwigenkoog;1051043;Büsum-Wesselburen;10515178.0
Heide, Stadt;1051044;Heide, Stadt;10510044.0
Hellschen-Heringsand-Unterschaar;1051045;Büsum-Wesselburen;10515178.0
Helse;1051046;Marne-Nordsee;10515166.0
Hemme;1051047;Eider;10515169.0
Hemmingstedt;1051048;Heider Umland;10515172.0
Hennstedt;1051049;Eider;10515169.0
Hillgroven;1051050;Büsum-Wesselburen;10515178.0
Hochdonn;1051051;Burg-St. Michaelisdonn;10515163.0
Hövede;1051052;Eider;10515169.0
Hollingstedt;1051053;Eider;10515169.0
Immenstedt;1051054;Mitteldithmarschen;10515175.0
Kaiser-Wilhelm-Koog;1051057;Marne-Nordsee;10515166.0
Karolinenkoog;1051058;Eider;10515169.0
Kleve;1051060;Eider;10515169.0
Krempel;1051061;Eider;10515169.0
Kronprinzenkoog;1051062;Marne-Nordsee;10515166.0
Krumstedt;1051063;Mitteldithmarschen;10515175.0
Kuden;1051064;Burg-St. Michaelisdonn;10515163.0
Lehe;1051065;Eider;10515169.0
Lieth;1051067;Heider Umland;10515172.0
Linden;1051068;Eider;10515169.0
Lohe-Rickelshof;1051069;Heider Umland;10515172.0
Lunden;1051071;Eider;10515169.0
Marne, Stadt;1051072;Marne-Nordsee;10515166.0
Marnerdeich;1051073;Marne-Nordsee;10515166.0
Meldorf, Stadt;1051074;Mitteldithmarschen;10515175.0
Neuenkirchen;1051075;Heider Umland;10515172.0
Neufeld;1051076;Marne-Nordsee;10515166.0
Neufelderkoog;1051077;Marne-Nordsee;10515166.0
Nindorf;1051078;Mitteldithmarschen;10515175.0
Norddeich;1051079;Büsum-Wesselburen;10515178.0
Norderheistedt;1051080;Eider;10515169.0
Norderwöhrden;1051081;Heider Umland;10515172.0
Nordhastedt;1051082;Heider Umland;10515172.0
Odderade;1051083;Mitteldithmarschen;10515175.0
Oesterdeichstrich;1051084;Büsum-Wesselburen;10515178.0
Offenbüttel;1051085;Mitteldithmarschen;10515175.0
Osterrade;1051086;Mitteldithmarschen;10515175.0
Ostrohe;1051087;Heider Umland;10515172.0
Pahlen;1051088;Eider;10515169.0
Quickborn;1051089;Burg-St. Michaelisdonn;10515163.0
Ramhusen;1051090;Marne-Nordsee;10515166.0
Rehm-Flehde-Bargen;1051092;Eider;10515169.0
Reinsbüttel;1051093;Büsum-Wesselburen;10515178.0
Sankt Annen;1051096;Eider;10515169.0
Sankt Michaelisdonn;1051097;Burg-St. Michaelisdonn;10515163.0
Sarzbüttel;1051098;Mitteldithmarschen;10515175.0
Schafstedt;1051099;Mitteldithmarschen;10515175.0
Schalkholz;1051100;Eider;10515169.0
Schlichting;1051102;Eider;10515169.0
Schmedeswurth;1051103;Marne-Nordsee;10515166.0
Schrum;1051104;Mitteldithmarschen;10515175.0
Schülp;1051105;Büsum-Wesselburen;10515178.0
Stelle-Wittenwurth;1051107;Heider Umland;10515172.0
Strübbel;1051108;Büsum-Wesselburen;10515178.0
Süderdeich;1051109;Büsum-Wesselburen;10515178.0
Süderhastedt;1051110;Burg-St. Michaelisdonn;10515163.0
Wöhrden;1051113;Heider Umland;10515172.0
Tellingstedt;1051114;Eider;10515169.0
Tielenhemme;1051117;Eider;10515169.0
Trennewurth;1051118;Marne-Nordsee;10515166.0
Volsemenhusen;1051119;Marne-Nordsee;10515166.0
Wallen;1051120;Eider;10515169.0
Warwerort;1051121;Büsum-Wesselburen;10515178.0
Weddingstedt;1051122;Heider Umland;10515172.0
Welmbüttel;1051125;Eider;10515169.0
Wennbüttel;1051126;Mitteldithmarschen;10515175.0
Wesselburen, Stadt;1051127;Büsum-Wesselburen;10515178.0
Wesselburener Deichhausen;1051128;Büsum-Wesselburen;10515178.0
Wesselburenerkoog;1051129;Büsum-Wesselburen;10515178.0
Wesseln;1051130;Heider Umland;10515172.0
Westerborstel;1051131;Eider;10515169.0
Westerdeichstrich;1051132;Büsum-Wesselburen;10515178.0
Wiemerstedt;1051133;Eider;10515169.0
Windbergen;1051134;Mitteldithmarschen;10515175.0
Wolmersdorf;1051135;Mitteldithmarschen;10515175.0
Wrohm;1051136;Eider;10515169.0
Nordermeldorf;1051137;Mitteldithmarschen;10515175.0
Tensbüttel-Röst;1051138;Mitteldithmarschen;10515175.0
Süderdorf;1051139;Eider;10515169.0
Oesterwurth;1051140;Büsum-Wesselburen;10515178.0
Süderheistedt;1051141;Eider;10515169.0
Albsfelde;1053001;Lauenburgische Seen;10535358.0
Alt-Mölln;1053002;Breitenfelde;10535313.0
Aumühle;1053003;Hohe Elbgeest;10535323.0
Bäk;1053004;Lauenburgische Seen;10535358.0
Bälau;1053005;Breitenfelde;10535313.0
Basedow;1053006;Lütau;10535343.0
Basthorst;1053007;Schwarzenbek-Land;10535373.0
Behlendorf;1053008;Berkenthin;10535308.0
Berkenthin;1053009;Berkenthin;10535308.0
Besenthal;1053010;Büchen;10535318.0
Bliestorf;1053011;Berkenthin;10535308.0
Börnsen;1053012;Hohe Elbgeest;10535323.0
Borstorf;1053013;Breitenfelde;10535313.0
Breitenfelde;1053014;Breitenfelde;10535313.0
Bröthen;1053015;Büchen;10535318.0
Brunsmark;1053016;Lauenburgische Seen;10535358.0
Brunstorf;1053017;Schwarzenbek-Land;10535373.0
Buchholz;1053018;Lauenburgische Seen;10535358.0
Buchhorst;1053019;Lütau;10535343.0
Büchen;1053020;Büchen;10535318.0
Dahmker;1053021;Schwarzenbek-Land;10535373.0
Dalldorf;1053022;Lütau;10535343.0
Dassendorf;1053023;Hohe Elbgeest;10535323.0
Düchelsdorf;1053024;Berkenthin;10535308.0
Duvensee;1053025;Sandesneben-Nusse;10535391.0
Einhaus;1053026;Lauenburgische Seen;10535358.0
Elmenhorst;1053027;Schwarzenbek-Land;10535373.0
Escheburg;1053028;Hohe Elbgeest;10535323.0
Fitzen;1053029;Büchen;10535318.0
Fredeburg;1053030;Lauenburgische Seen;10535358.0
Fuhlenhagen;1053031;Schwarzenbek-Land;10535373.0
Geesthacht, Stadt;1053032;Geesthacht, Stadt;10530032.0
Giesensdorf;1053033;Lauenburgische Seen;10535358.0
Göldenitz;1053034;Berkenthin;10535308.0
Göttin;1053035;Büchen;10535318.0
Grabau;1053036;Schwarzenbek-Land;10535373.0
Grambek;1053037;Breitenfelde;10535313.0
Grinau;1053038;Sandesneben-Nusse;10535391.0
Groß Boden;1053039;Sandesneben-Nusse;10535391.0
Groß Disnack;1053040;Lauenburgische Seen;10535358.0
Groß Grönau;1053041;Lauenburgische Seen;10535358.0
Groß Pampau;1053042;Schwarzenbek-Land;10535373.0
Groß Sarau;1053043;Lauenburgische Seen;10535358.0
Groß Schenkenberg;1053044;Sandesneben-Nusse;10535391.0
Grove;1053045;Schwarzenbek-Land;10535373.0
Gudow;1053046;Büchen;10535318.0
Gülzow;1053047;Schwarzenbek-Land;10535373.0
Güster;1053048;Büchen;10535318.0
Hamfelde;1053049;Schwarzenbek-Land;10535373.0
Hamwarde;1053050;Hohe Elbgeest;10535323.0
Harmsdorf;1053051;Lauenburgische Seen;10535358.0
Havekost;1053052;Schwarzenbek-Land;10535373.0
Hohenhorn;1053053;Hohe Elbgeest;10535323.0
Hollenbek;1053054;Lauenburgische Seen;10535358.0
Hornbek;1053056;Breitenfelde;10535313.0
Horst;1053057;Lauenburgische Seen;10535358.0
Juliusburg;1053058;Lütau;10535343.0
Kankelau;1053059;Schwarzenbek-Land;10535373.0
Kasseburg;1053060;Schwarzenbek-Land;10535373.0
Kastorf;1053061;Berkenthin;10535308.0
Kittlitz;1053062;Lauenburgische Seen;10535358.0
Klein Pampau;1053064;Büchen;10535318.0
Klein Zecher;1053066;Lauenburgische Seen;10535358.0
Klempau;1053067;Berkenthin;10535308.0
Klinkrade;1053068;Sandesneben-Nusse;10535391.0
Koberg;1053069;Sandesneben-Nusse;10535391.0
Köthel;1053070;Schwarzenbek-Land;10535373.0
Kollow;1053071;Schwarzenbek-Land;10535373.0
Kröppelshagen-Fahrendorf;1053072;Hohe Elbgeest;10535323.0
Krüzen;1053073;Lütau;10535343.0
Krukow;1053074;Lütau;10535343.0
Krummesse;1053075;Berkenthin;10535308.0
Kuddewörde;1053076;Schwarzenbek-Land;10535373.0
Kühsen;1053077;Sandesneben-Nusse;10535391.0
Kulpin;1053078;Lauenburgische Seen;10535358.0
Labenz;1053079;Sandesneben-Nusse;10535391.0
Langenlehsten;1053080;Büchen;10535318.0
Lankau;1053081;Sandesneben-Nusse;10535391.0
Lanze;1053082;Lütau;10535343.0
Lauenburg/ Elbe, Stadt;1053083;Lauenburg/ Elbe, Stadt;10530083.0
Lehmrade;1053084;Breitenfelde;10535313.0
Linau;1053085;Sandesneben-Nusse;10535391.0
Lüchow;1053086;Sandesneben-Nusse;10535391.0
Lütau;1053087;Lütau;10535343.0
Mechow;1053088;Lauenburgische Seen;10535358.0
Möhnsen;1053089;Schwarzenbek-Land;10535373.0
Mölln, Stadt;1053090;Mölln, Stadt;10530090.0
Mühlenrade;1053091;Schwarzenbek-Land;10535373.0
Müssen;1053092;Büchen;10535318.0
Mustin;1053093;Lauenburgische Seen;10535358.0
Niendorf bei Berkenthin;1053094;Berkenthin;10535308.0
Niendorf/ Stecknitz;1053095;Breitenfelde;10535313.0
Nusse;1053096;Sandesneben-Nusse;10535391.0
Panten;1053097;Sandesneben-Nusse;10535391.0
Pogeez;1053098;Lauenburgische Seen;10535358.0
Poggensee;1053099;Sandesneben-Nusse;10535391.0
Ratzeburg, Stadt;1053100;Ratzeburg, Stadt;10530100.0
Ritzerau;1053101;Sandesneben-Nusse;10535391.0
Römnitz;1053102;Lauenburgische Seen;10535358.0
Rondeshagen;1053103;Berkenthin;10535308.0
Roseburg;1053104;Büchen;10535318.0
Sachsenwald (Forstgutsbez.),gemfr.Geb.;1053105;Sachsenwald (Forstgutsbez.),gemfr.Geb.;10539105.0
Sahms;1053106;Schwarzenbek-Land;10535373.0
Salem;1053107;Lauenburgische Seen;10535358.0
Sandesneben;1053108;Sandesneben-Nusse;10535391.0
Schiphorst;1053109;Sandesneben-Nusse;10535391.0
Schmilau;1053110;Lauenburgische Seen;10535358.0
Schnakenbek;1053111;Lütau;10535343.0
Schönberg;1053112;Sandesneben-Nusse;10535391.0
Schretstaken;1053113;Breitenfelde;10535313.0
Schürensöhlen;1053114;Sandesneben-Nusse;10535391.0
Schulendorf;1053115;Büchen;10535318.0
Schwarzenbek, Stadt;1053116;Schwarzenbek, Stadt;10530116.0
Seedorf;1053117;Lauenburgische Seen;10535358.0
Siebenbäumen;1053118;Sandesneben-Nusse;10535391.0
Siebeneichen;1053119;Büchen;10535318.0
Sierksrade;1053120;Berkenthin;10535308.0
Sirksfelde;1053121;Sandesneben-Nusse;10535391.0
Steinhorst;1053122;Sandesneben-Nusse;10535391.0
Sterley;1053123;Lauenburgische Seen;10535358.0
Stubben;1053124;Sandesneben-Nusse;10535391.0
Talkau;1053125;Breitenfelde;10535313.0
Tramm;1053126;Büchen;10535318.0
Walksfelde;1053127;Sandesneben-Nusse;10535391.0
Wangelau;1053128;Lütau;10535343.0
Wentorf bei Hamburg;1053129;Wentorf bei Hamburg;10530129.0
Wentorf (Amt Sandesneben);1053130;Sandesneben-Nusse;10535391.0
Wiershop;1053131;Hohe Elbgeest;10535323.0
Witzeeze;1053132;Büchen;10535318.0
Wohltorf;1053133;Hohe Elbgeest;10535323.0
Woltersdorf;1053134;Breitenfelde;10535313.0
Worth;1053135;Hohe Elbgeest;10535323.0
Ziethen;1053136;Lauenburgische Seen;10535358.0
Achtrup;1054001;Südtondern;10545489.0
Ahrenshöft;1054002;Mittleres Nordfriesland;10545494.0
Ahrenviöl;1054003;Viöl;10545453.0
Ahrenviölfeld;1054004;Viöl;10545453.0
Alkersum;1054005;Föhr-Amrum;10545488.0
Almdorf;1054006;Mittleres Nordfriesland;10545494.0
Arlewatt;1054007;Nordsee-Treene;10545492.0
Aventoft;1054009;Südtondern;10545489.0
Bargum;1054010;Mittleres Nordfriesland;10545494.0
Behrendorf;1054011;Viöl;10545453.0
Bohmstedt;1054012;Mittleres Nordfriesland;10545494.0
Bondelum;1054013;Viöl;10545453.0
Bordelum;1054014;Mittleres Nordfriesland;10545494.0
Borgsum;1054015;Föhr-Amrum;10545488.0
Bosbüll;1054016;Südtondern;10545489.0
Braderup;1054017;Südtondern;10545489.0
Bramstedtlund;1054018;Südtondern;10545489.0
Bredstedt, Stadt;1054019;Mittleres Nordfriesland;10545494.0
Breklum;1054020;Mittleres Nordfriesland;10545494.0
Dagebüll;1054022;Südtondern;10545489.0
Drage;1054023;Nordsee-Treene;10545492.0
Drelsdorf;1054024;Mittleres Nordfriesland;10545494.0
Dunsum;1054025;Föhr-Amrum;10545488.0
Elisabeth-Sophien-Koog;1054026;Nordsee-Treene;10545492.0
Ellhöft;1054027;Südtondern;10545489.0
Fresendelf;1054032;Nordsee-Treene;10545492.0
Friedrichstadt, Stadt;1054033;Friedrichstadt, Stadt;10540033.0
Friedrich-Wilhelm-Lübke-Koog;1054034;Südtondern;10545489.0
Garding, Kirchspiel;1054035;Eiderstedt;10545417.0
Garding, Stadt;1054036;Eiderstedt;10545417.0
Goldebek;1054037;Mittleres Nordfriesland;10545494.0
Goldelund;1054038;Mittleres Nordfriesland;10545494.0
Gröde;1054039;Pellworm;10545459.0
Grothusenkoog;1054040;Eiderstedt;10545417.0
Haselund;1054041;Viöl;10545453.0
Hattstedt;1054042;Nordsee-Treene;10545492.0
Hattstedtermarsch;1054043;Nordsee-Treene;10545492.0
Högel;1054045;Mittleres Nordfriesland;10545494.0
Hörnum (Sylt);1054046;Landschaft Sylt;10545439.0
Holm;1054048;Südtondern;10545489.0
Hallig Hooge;1054050;Pellworm;10545459.0
Horstedt;1054052;Nordsee-Treene;10545492.0
Hude;1054054;Nordsee-Treene;10545492.0
Humptrup;1054055;Südtondern;10545489.0
Husum, Stadt;1054056;Husum, Stadt;10540056.0
Immenstedt;1054057;Viöl;10545453.0
Joldelund;1054059;Mittleres Nordfriesland;10545494.0
Kampen (Sylt);1054061;Landschaft Sylt;10545439.0
Karlum;1054062;Südtondern;10545489.0
Katharinenheerd;1054063;Eiderstedt;10545417.0
Klanxbüll;1054065;Südtondern;10545489.0
Klixbüll;1054068;Südtondern;10545489.0
Koldenbüttel;1054070;Nordsee-Treene;10545492.0
Kolkerheide;1054071;Mittleres Nordfriesland;10545494.0
Kotzenbüll;1054072;Eiderstedt;10545417.0
Ladelund;1054073;Südtondern;10545489.0
Langeneß;1054074;Pellworm;10545459.0
Langenhorn;1054075;Mittleres Nordfriesland;10545494.0
Leck;1054076;Südtondern;10545489.0
Lexgaard;1054077;Südtondern;10545489.0
List auf Sylt;1054078;Landschaft Sylt;10545439.0
Löwenstedt;1054079;Viöl;10545453.0
Lütjenholm;1054080;Mittleres Nordfriesland;10545494.0
Midlum;1054083;Föhr-Amrum;10545488.0
Mildstedt;1054084;Nordsee-Treene;10545492.0
Nebel;1054085;Föhr-Amrum;10545488.0
Neukirchen;1054086;Südtondern;10545489.0
Nieblum;1054087;Föhr-Amrum;10545488.0
Niebüll, Stadt;1054088;Südtondern;10545489.0
Norddorf auf Amrum;1054089;Föhr-Amrum;10545488.0
Norderfriedrichskoog;1054090;Eiderstedt;10545417.0
Nordstrand;1054091;Nordsee-Treene;10545492.0
Norstedt;1054092;Viöl;10545453.0
Ockholm;1054093;Mittleres Nordfriesland;10545494.0
Oevenum;1054094;Föhr-Amrum;10545488.0
Oldenswort;1054095;Eiderstedt;10545417.0
Oldersbek;1054096;Nordsee-Treene;10545492.0
Olderup;1054097;Nordsee-Treene;10545492.0
Oldsum;1054098;Föhr-Amrum;10545488.0
Ostenfeld (Husum);1054099;Nordsee-Treene;10545492.0
Osterhever;1054100;Eiderstedt;10545417.0
Oster-Ohrstedt;1054101;Viöl;10545453.0
Pellworm;1054103;Pellworm;10545459.0
Poppenbüll;1054104;Eiderstedt;10545417.0
Ramstedt;1054105;Nordsee-Treene;10545492.0
Rantrum;1054106;Nordsee-Treene;10545492.0
Reußenköge;1054108;Reußenköge;10540108.0
Risum-Lindholm;1054109;Südtondern;10545489.0
Rodenäs;1054110;Südtondern;10545489.0
Sankt Peter-Ording;1054113;Eiderstedt;10545417.0
Schwabstedt;1054116;Nordsee-Treene;10545492.0
Schwesing;1054118;Viöl;10545453.0
Seeth;1054119;Nordsee-Treene;10545492.0
Simonsberg;1054120;Nordsee-Treene;10545492.0
Sönnebüll;1054121;Mittleres Nordfriesland;10545494.0
Sollwitt;1054123;Viöl;10545453.0
Sprakebüll;1054124;Südtondern;10545489.0
Stadum;1054125;Südtondern;10545489.0
Stedesand;1054126;Südtondern;10545489.0
Struckum;1054128;Mittleres Nordfriesland;10545494.0
Süderende;1054129;Föhr-Amrum;10545488.0
Süderhöft;1054130;Nordsee-Treene;10545492.0
Süderlügum;1054131;Südtondern;10545489.0
Südermarsch;1054132;Nordsee-Treene;10545492.0
Tating;1054134;Eiderstedt;10545417.0
Tetenbüll;1054135;Eiderstedt;10545417.0
Tinningstedt;1054136;Südtondern;10545489.0
Tönning, Stadt;1054138;Tönning, Stadt;10540138.0
Tümlauer Koog;1054140;Eiderstedt;10545417.0
Uelvesbüll;1054141;Nordsee-Treene;10545492.0
Uphusum;1054142;Südtondern;10545489.0
Utersum;1054143;Föhr-Amrum;10545488.0
Viöl;1054144;Viöl;10545453.0
Vollerwiek;1054145;Eiderstedt;10545417.0
Vollstedt;1054146;Mittleres Nordfriesland;10545494.0
Welt;1054148;Eiderstedt;10545417.0
Wenningstedt-Braderup (Sylt);1054149;Landschaft Sylt;10545439.0
Westerhever;1054150;Eiderstedt;10545417.0
Wester-Ohrstedt;1054152;Viöl;10545453.0
Westre;1054154;Südtondern;10545489.0
Winnert;1054156;Nordsee-Treene;10545492.0
Wisch;1054157;Nordsee-Treene;10545492.0
Witsum;1054158;Föhr-Amrum;10545488.0
Wittbek;1054159;Nordsee-Treene;10545492.0
Wittdün auf Amrum;1054160;Föhr-Amrum;10545488.0
Witzwort;1054161;Nordsee-Treene;10545492.0
Wobbenbüll;1054162;Nordsee-Treene;10545492.0
Wrixum;1054163;Föhr-Amrum;10545488.0
Wyk auf Föhr, Stadt;1054164;Föhr-Amrum;10545488.0
Galmsbüll;1054165;Südtondern;10545489.0
Emmelsbüll-Horsbüll;1054166;Südtondern;10545489.0
Enge-Sande;1054167;Südtondern;10545489.0
Sylt;1054168;Sylt;10540168.0
Ahrensbök;1055001;Ahrensbök;10550001.0
Altenkrempe;1055002;Ostholstein-Mitte;10555591.0
Bad Schwartau, Stadt;1055004;Bad Schwartau, Stadt;10550004.0
Beschendorf;1055006;Lensahn;10555546.0
Bosau;1055007;Großer Plöner See;10575739.0
Dahme;1055010;Dahme;10550010.0
Damlos;1055011;Lensahn;10555546.0
Eutin, Stadt;1055012;Eutin, Stadt;10550012.0
Göhl;1055014;Oldenburg-Land;10555543.0
Gremersdorf;1055015;Oldenburg-Land;10555543.0
Grömitz;1055016;Grömitz;10550016.0
Großenbrode;1055017;Oldenburg-Land;10555543.0
Grube;1055018;Grube;10550018.0
Harmsdorf;1055020;Lensahn;10555546.0
Heiligenhafen, Stadt;1055021;Heiligenhafen, Stadt;10550021.0
Heringsdorf;1055022;Oldenburg-Land;10555543.0
Kabelhorst;1055023;Lensahn;10555546.0
Kasseedorf;1055024;Ostholstein-Mitte;10555591.0
Kellenhusen (Ostsee);1055025;Kellenhusen (Ostsee);10550025.0
Lensahn;1055027;Lensahn;10555546.0
Malente;1055028;Malente;10550028.0
Manhagen;1055029;Lensahn;10555546.0
Neukirchen;1055031;Oldenburg-Land;10555543.0
Neustadt in Holstein, Stadt;1055032;Neustadt in Holstein, Stadt;10550032.0
Oldenburg in Holstein, Stadt;1055033;Oldenburg in Holstein, Stadt;10550033.0
Ratekau;1055035;Ratekau;10550035.0
Riepsdorf;1055036;Lensahn;10555546.0
Schashagen;1055037;Ostholstein-Mitte;10555591.0
Schönwalde am Bungsberg;1055038;Ostholstein-Mitte;10555591.0
Sierksdorf;1055039;Ostholstein-Mitte;10555591.0
Stockelsdorf;1055040;Stockelsdorf;10550040.0
Süsel;1055041;Süsel;10550041.0
Timmendorfer Strand;1055042;Timmendorfer Strand;10550042.0
Wangels;1055043;Oldenburg-Land;10555543.0
Scharbeutz;1055044;Scharbeutz;10550044.0
Fehmarn, Stadt;1055046;Fehmarn, Stadt;10550046.0
Appen;1056001;Geest und Marsch Südholstein;10565690.0
Barmstedt, Stadt;1056002;Barmstedt, Stadt;10560002.0
Bevern;1056003;Rantzau;10565660.0
Bilsen;1056004;Rantzau;10565660.0
Bönningstedt;1056005;Bönningstedt;10560005.0
Bokel;1056006;Hörnerkirchen;10565636.0
Bokholt-Hanredder;1056008;Rantzau;10565660.0
Borstel-Hohenraden;1056009;Pinnau;10565687.0
Brande-Hörnerkirchen;1056010;Hörnerkirchen;10565636.0
Bullenkuhlen;1056011;Rantzau;10565660.0
Ellerbek;1056013;Pinnau;10565687.0
Ellerhoop;1056014;Rantzau;10565660.0
Elmshorn, Stadt;1056015;Elmshorn, Stadt;10560015.0
Groß Nordende;1056016;Geest und Marsch Südholstein;10565690.0
Groß Offenseth-Aspern;1056017;Rantzau;10565660.0
Halstenbek;1056018;Halstenbek;10560018.0
Haselau;1056019;Geest und Marsch Südholstein;10565690.0
Haseldorf;1056020;Geest und Marsch Südholstein;10565690.0
Hasloh;1056021;Hasloh;10560021.0
Heede;1056022;Rantzau;10565660.0
Heidgraben;1056023;Geest und Marsch Südholstein;10565690.0
Heist;1056024;Geest und Marsch Südholstein;10565690.0
Helgoland;1056025;Helgoland;10560025.0
Hemdingen;1056026;Rantzau;10565660.0
Hetlingen;1056027;Geest und Marsch Südholstein;10565690.0
Holm;1056028;Geest und Marsch Südholstein;10565690.0
Klein Nordende;1056029;Elmshorn-Land;10565616.0
Klein Offenseth-Sparrieshoop;1056030;Elmshorn-Land;10565616.0
Kölln-Reisiek;1056031;Elmshorn-Land;10565616.0
Kummerfeld;1056032;Pinnau;10565687.0
Seester;1056033;Elmshorn-Land;10565616.0
Langeln;1056034;Rantzau;10565660.0
Lutzhorn;1056035;Rantzau;10565660.0
Moorrege;1056036;Geest und Marsch Südholstein;10565690.0
Neuendeich;1056037;Geest und Marsch Südholstein;10565690.0
Osterhorn;1056038;Hörnerkirchen;10565636.0
Pinneberg, Stadt;1056039;Pinneberg, Stadt;10560039.0
Prisdorf;1056040;Pinnau;10565687.0
Quickborn, Stadt;1056041;Quickborn, Stadt;10560041.0
Raa-Besenbek;1056042;Elmshorn-Land;10565616.0
Rellingen;1056043;Rellingen;10560043.0
Schenefeld, Stadt;1056044;Schenefeld, Stadt;10560044.0
Seestermühe;1056045;Elmshorn-Land;10565616.0
Seeth-Ekholt;1056046;Elmshorn-Land;10565616.0
Tangstedt;1056047;Pinnau;10565687.0
Tornesch, Stadt;1056048;Tornesch, Stadt;10560048.0
Uetersen, Stadt;1056049;Uetersen, Stadt;10560049.0
Wedel, Stadt;1056050;Wedel, Stadt;10560050.0
Westerhorn;1056051;Hörnerkirchen;10565636.0
Ascheberg (Holstein);1057001;Ascheberg (Holstein);10570001.0
Barmissen;1057002;Preetz-Land;10575747.0
Barsbek;1057003;Probstei;10575755.0
Behrensdorf (Ostsee);1057004;Amt Lütjenburg;10575727.0
Belau;1057005;Bokhorst-Wankendorf;10575785.0
Bendfeld;1057006;Probstei;10575755.0
Blekendorf;1057007;Amt Lütjenburg;10575727.0
Bönebüttel;1057008;Bönebüttel;10570008.0
Bösdorf;1057009;Bösdorf;10570009.0
Boksee;1057010;Preetz-Land;10575747.0
Bothkamp;1057011;Preetz-Land;10575747.0
Brodersdorf;1057012;Probstei;10575755.0
Dannau;1057013;Amt Lütjenburg;10575727.0
Dersau;1057015;Großer Plöner See;10575739.0
Dobersdorf;1057016;Selent/ Schlesen;10575775.0
Dörnick;1057017;Großer Plöner See;10575739.0
Fahren;1057018;Probstei;10575755.0
Fiefbergen;1057020;Probstei;10575755.0
Giekau;1057021;Amt Lütjenburg;10575727.0
Grebin;1057022;Großer Plöner See;10575739.0
Großbarkau;1057023;Preetz-Land;10575747.0
Großharrie;1057024;Bokhorst-Wankendorf;10575785.0
Heikendorf;1057025;Schrevenborn;10575782.0
Helmstorf;1057026;Amt Lütjenburg;10575727.0
Högsdorf;1057027;Amt Lütjenburg;10575727.0
Höhndorf;1057028;Probstei;10575755.0
Hohenfelde;1057029;Amt Lütjenburg;10575727.0
Hohwacht (Ostsee);1057030;Amt Lütjenburg;10575727.0
Honigsee;1057031;Preetz-Land;10575747.0
Kalübbe;1057032;Großer Plöner See;10575739.0
Kirchbarkau;1057033;Preetz-Land;10575747.0
Kirchnüchel;1057034;Amt Lütjenburg;10575727.0
Klamp;1057035;Amt Lütjenburg;10575727.0
Klein Barkau;1057037;Preetz-Land;10575747.0
Kletkamp;1057038;Amt Lütjenburg;10575727.0
Köhn;1057039;Probstei;10575755.0
Krokau;1057040;Probstei;10575755.0
Krummbek;1057041;Probstei;10575755.0
Kühren;1057042;Preetz-Land;10575747.0
Laboe;1057043;Probstei;10575755.0
Lammershagen;1057044;Selent/ Schlesen;10575775.0
Lebrade;1057045;Großer Plöner See;10575739.0
Lehmkuhlen;1057046;Preetz-Land;10575747.0
Löptin;1057047;Preetz-Land;10575747.0
Lütjenburg, Stadt;1057048;Amt Lütjenburg;10575727.0
Lutterbek;1057049;Probstei;10575755.0
Martensrade;1057050;Selent/ Schlesen;10575775.0
Mönkeberg;1057051;Schrevenborn;10575782.0
